Location,lat,long,wikidata,geonames
Aberdeen,57.14369,-2.09814,Q36405,2657832
Aberdeenshire,57.16667,-2.66667,Q189912,2657830
Angus,56.66667,-2.91667,Q202177,2657306
Argyllshire,56.25,-5.25,Q652539,2657088
Ayrshire,55.5,-4.5,Q793283,2656700
Banff,57.66477,-2.52964,Q54809,2656402
Berwickshire,55.75,-2.5,Q786649,2655820
Borders,,,Q9177476,
Bute,55.83333,-5.1,Q1147435,2654168
Caithness,58.41667,-3.5,Q864668,2654041
Clackmannanshire,56.16667,-3.75,Q207268,2652975
Dumfriesshire,55.16667,-3.5,Q1247384,2650795
Dunbartonshire,56.12639,-4.42069,Q17582129,7280022
Dundee,56.46913,-2.97489,Q123709,2650752
East Lothian,55.91667,-2.75,Q207257,2650386
Edinburgh,55.95206,-3.19648,Q23436,2650225
Fife,56.25,-3.16667,Q201149,2649469
Forth River,56.0475,-3.7072,Q2421,2649177
Glasgow,55.86515,-4.25763,Q4093,2648579
"Gorbals, the",,,Q3643362,
"Highlands, the",57.12,-4.71,Q106652,2646943
Inner Hebrides,56.5,-6,Q81052,2646177
Invernesshire,,,,
Kincardineshire,56.91667,-2.5,Q376914,2645521
Kinrosshire,,,,
Kirkudbrightshire,,,,
Lanarkshire,55.58333,-3.83333,Q530296,2644975
Midlothian,55.82347,-3.09334,Q206934,2642559
Morayshire,,,Q1247435,
Nairn,57.58094,-3.87973,Q980084,2641910
Orkney Islands,59,-3,Q100166,2640923
Outer Hebrides,57.75,-7,Q80967,2640801
Peebles- shire,,,,
Perth,56.39522,-3.43139,Q203000,2640358
Renfrewshire,55.83333,-4.5,Q211091,2639494
Ross-shire,,,Q978599,
Roxburghshire,55.5,-2.5,Q664892,2639033
Selkirkshire,55.5,-3,Q1247396,2638228
Shetland Islands,60.33333,-1.33333,Q47134,2638010
Stirling,56.11903,-3.93682,Q182923,2636910
Stirlingshire,,,Q1229763,
Sutherland,58.25,-4.5,Q1061313,2636507
West Lothian,55.91667,-3.5,Q204940,2634354
Wigtownshire,54.6,-4.83333,Q550606,2633928
